python,[294, 54, 152, 143, 176, 149, 80, 121, 68, 56, 58, 71, 40, 40, 28, 36, 34, 2, 16, 30, 18, 26, 32, 23, 4, 14, 30, 10, 27]
ai,[54, 128, 51, 38, 61, 38, 26, 30, 12, 10, 13, 8, 8, 7, 8, 9, 4, 4, 5, 11, 6, 4, 11, 3, 4, 4, 3, 0, 2]
c++,[152, 51, 210, 98, 175, 92, 74, 87, 26, 28, 50, 45, 27, 36, 16, 20, 20, 8, 4, 26, 16, 16, 16, 23, 0, 12, 19, 4, 5]
java,[143, 38, 98, 184, 120, 76, 55, 68, 50, 42, 20, 37, 16, 20, 16, 18, 12, 8, 15, 22, 21, 16, 12, 8, 4, 12, 29, 8, 27]
c,[176, 61, 175, 120, 162, 122, 79, 106, 44, 37, 51, 49, 37, 36, 21, 25, 27, 14, 13, 28, 13, 20, 22, 28, 2, 15, 13, 7, 15]
tensorflow,[149, 38, 92, 76, 122, 170, 40, 131, 46, 34, 30, 67, 43, 44, 28, 36, 34, 2, 6, 32, 2, 8, 32, 19, 4, 12, 3, 10, 14]
linux,[80, 26, 74, 55, 79, 40, 124, 40, 26, 24, 8, 20, 7, 14, 2, 10, 8, 10, 10, 6, 18, 18, 6, 13, 0, 0, 19, 4, 7]
caffe,[121, 30, 87, 68, 106, 131, 40, 140, 40, 32, 29, 68, 37, 46, 24, 39, 34, 2, 4, 30, 4, 8, 19, 23, 4, 16, 5, 10, 10]
spark,[68, 12, 26, 50, 44, 46, 26, 40, 80, 62, 12, 25, 14, 12, 14, 16, 14, 2, 6, 8, 8, 12, 6, 0, 4, 12, 10, 6, 17]
hadoop,[56, 10, 28, 42, 37, 34, 24, 32, 62, 64, 12, 16, 12, 10, 12, 8, 10, 2, 4, 8, 10, 10, 4, 0, 4, 8, 11, 0, 13]
matlab,[58, 13, 50, 20, 51, 30, 8, 29, 12, 12, 66, 15, 11, 14, 2, 10, 10, 0, 0, 4, 4, 2, 10, 10, 0, 6, 3, 0, 2]
torch,[71, 8, 45, 37, 49, 67, 20, 68, 25, 16, 15, 62, 23, 32, 10, 25, 23, 0, 0, 12, 4, 5, 17, 11, 0, 14, 5, 8, 7]
cnn,[40, 8, 27, 16, 37, 43, 7, 37, 14, 12, 11, 23, 56, 24, 16, 14, 32, 2, 0, 6, 4, 4, 6, 4, 0, 20, 5, 0, 2]
theano,[40, 7, 36, 20, 36, 44, 14, 46, 12, 10, 14, 32, 24, 50, 10, 24, 26, 0, 0, 12, 4, 4, 2, 8, 0, 12, 3, 2, 0]
nlp,[28, 8, 16, 16, 21, 28, 2, 24, 14, 12, 2, 10, 16, 10, 40, 8, 14, 0, 2, 6, 2, 2, 4, 0, 0, 8, 1, 0, 4]
keras,[36, 9, 20, 18, 25, 36, 10, 39, 16, 8, 10, 25, 14, 24, 8, 40, 20, 0, 0, 6, 2, 4, 4, 4, 4, 6, 2, 8, 0]
svm,[34, 4, 20, 12, 27, 34, 8, 34, 14, 10, 10, 23, 32, 26, 14, 20, 48, 0, 0, 4, 4, 4, 2, 4, 0, 20, 3, 0, 2]
android,[2, 4, 8, 8, 14, 2, 10, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 16, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0]
web,[16, 5, 4, 15, 13, 6, 10, 4, 6, 4, 0, 0, 0, 0, 2, 0, 0, 0, 26, 2, 8, 6, 0, 2, 0, 0, 5, 0, 4]
mxnet,[30, 11, 26, 22, 28, 32, 6, 30, 8, 8, 4, 12, 6, 12, 6, 6, 4, 2, 2, 32, 0, 2, 4, 8, 0, 2, 2, 0, 2]
mysql,[18, 6, 16, 21, 13, 2, 18, 4, 8, 10, 4, 4, 4, 4, 2, 2, 4, 0, 8, 0, 28, 8, 0, 0, 0, 4, 15, 0, 1]
shell,[26, 4, 16, 16, 20, 8, 18, 8, 12, 10, 2, 5, 4, 4, 2, 4, 4, 2, 6, 2, 8, 30, 2, 1, 0, 2, 6, 2, 4]
pytorch,[32, 11, 16, 12, 22, 32, 6, 19, 6, 4, 10, 17, 6, 2, 4, 4, 2, 0, 0, 4, 0, 2, 32, 4, 0, 0, 0, 2, 2]
opencv,[23, 3, 23, 8, 28, 19, 13, 23, 0, 0, 10, 11, 4, 8, 0, 4, 4, 2, 2, 8, 0, 1, 4, 30, 0, 0, 0, 3, 0]
analytics,[4, 4, 0, 4, 2, 4, 0, 4, 4, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]
boosting,[14, 4, 12, 12, 15, 12, 0, 16, 12, 8, 6, 14, 20, 12, 8, 6, 20, 0, 0, 2, 4, 2, 0, 0, 0, 26, 3, 0, 2]
sql,[30, 3, 19, 29, 13, 3, 19, 5, 10, 11, 3, 5, 5, 3, 1, 2, 3, 0, 5, 2, 15, 6, 0, 0, 0, 3, 24, 0, 4]
gpu,[10, 0, 4, 8, 7, 10, 4, 10, 6, 0, 0, 8, 0, 2, 0, 8, 0, 0, 0, 0, 0, 2, 2, 3, 0, 0, 0, 10, 0]
scala,[27, 2, 5, 27, 15, 14, 7, 10, 17, 13, 2, 7, 2, 0, 4, 0, 2, 0, 4, 2, 1, 4, 2, 0, 0, 2, 4, 0, 26]
